exports_from,exports_to,exports_year,section_id,section_name,trade_value,trade_id
usa,chn,2013,14,Precious Metals,1094159260,trade_b_56
usa,chn,2013,15,Metals,8955460212,trade_b_57
usa,chn,2013,16,Machines,23445865941,trade_b_58
usa,chn,2013,17,Transportation,24122341298,trade_b_59
usa,chn,2013,18,Instruments,8664603073,trade_b_60
usa,chn,2013,19,Weapons,1852026,trade_b_61
usa,chn,2013,20,Miscellaneous,547622044,trade_b_62
usa,chn,2013,21,Arts and Antiques,72608984,trade_b_63
usa,chn,2014,1,Animal Products,2652492512,trade_b_64
usa,chn,2014,2,Vegetable Products,17359202660,trade_b_65
usa,chn,2014,3,Animal and Vegetable Bi-Products,192534966,trade_b_66
usa,chn,2014,4,Foodstuffs,2603587993,trade_b_67
usa,chn,2014,5,Mineral Products,3514064307,trade_b_68
usa,chn,2014,6,Chemical Products,10179790962,trade_b_69
usa,chn,2014,7,Plastics and Rubbers,6056137178,trade_b_70
usa,chn,2014,8,Animal Hides,1645177734,trade_b_71
usa,chn,2014,9,Wood Products,2591056331,trade_b_72
usa,chn,2014,10,Paper Goods,4346721006,trade_b_73
usa,chn,2014,11,Textiles,2296419620,trade_b_74
usa,chn,2014,12,Footwear and Headwear,70441005,trade_b_75
usa,chn,2014,13,Stone And Glass,726017954,trade_b_76
usa,chn,2014,14,Precious Metals,1092718838,trade_b_77
usa,chn,2014,15,Metals,7750018741,trade_b_78
usa,chn,2014,16,Machines,23513870717,trade_b_79
usa,chn,2014,17,Transportation,28974089362,trade_b_80
usa,chn,2014,18,Instruments,8848612089,trade_b_81
usa,chn,2014,19,Weapons,952696,trade_b_82
usa,chn,2014,20,Miscellaneous,473024634,trade_b_83
usa,chn,2014,21,Arts and Antiques,126564773,trade_b_84
usa,chn,2015,1,Animal Products,1948625620,trade_b_85
usa,chn,2015,2,Vegetable Products,14297463165,trade_b_86
usa,chn,2015,3,Animal and Vegetable Bi-Products,70201121,trade_b_87
usa,chn,2015,4,Foodstuffs,3215053005,trade_b_88
usa,chn,2015,5,Mineral Products,3481280060,trade_b_89
usa,chn,2015,6,Chemical Products,10167038925,trade_b_90
usa,chn,2015,7,Plastics and Rubbers,5653378229,trade_b_91
usa,chn,2015,8,Animal Hides,1450426834,trade_b_92
